     token			lexeme
--------------------------------------------------------------
         @			unknown
find$Factorial		unknown
         (			separator
      num$			identifier
         :			separator
   integer			identifier
         )			separator
         {			separator
  function			keyword
         (			separator
         )			separator
         {			separator
   integer			identifier
        i$			identifier
         ,			separator
factorial$			identifier
         ;			separator
        i$			identifier
         :			separator
         =			operator
         1			integer
         ;			separator
factorial$			identifier
         :			separator
         =			operator
         1			integer
         ;			separator
     while			keyword
         (			separator
        i$			identifier
        >=			operator
      num$			identifier
         |			unknown
   boolean			keyword
        ==			operator
     false			keyword
         )			separator
         {			separator
factorial$			identifier
         :			separator
         =			operator
factorial$			identifier
         *			operator
         i			identifier
         ;			separator
        i$			identifier
         :			separator
         =			operator
        i$			identifier
         +			operator
         1			integer
         ;			separator
         }			separator
    return			keyword
factorial$			identifier
         ;			separator
         }			separator
         }			separator
        %%			separator
   integer			identifier
   number$			identifier
         ;			separator
       int			keyword
         [			separator
         ]			separator
         =			operator
       100			integer
         /			operator
       100			integer
         ;			separator
   integer			identifier
         i			identifier
         %			unknown
         2			integer
         =			operator
   number$			identifier
      read			identifier
         (			separator
   number$			identifier
         )			separator
         ;			separator
         [			separator
   number$			identifier
         ]			separator
         =			operator
         i			identifier
        ^=			operator
         2			integer
         ;			separator
